offer_id,image_1_primary,image_2_design,image_3_specs,image_4_rooms,image_5_texture
ЦБ-00032150,images/sku/cb-00032150/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
ЦБ-00032151,images/sku/cb-00032151/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
ЦБ-00032152,images/sku/cb-00032152/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
ЦБ-00032153,images/sku/cb-00032153/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
ЦБ-00032154,images/sku/cb-00032154/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
ЦБ-00032155,images/sku/cb-00032155/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
ЦБ-00032156,images/sku/cb-00032156/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
ЦБ-00032157,images/sku/cb-00032157/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
ЦБ-00032146,images/sku/cb-00032146/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
ЦБ-00032145,images/sku/cb-00032145/01-size-main.png,images/common/vegas-3-ve03/02-design-main.png,images/common/vegas-3-ve03/03-specs.png,images/common/vegas-3-ve03/04-rooms.png,images/common/vegas-3-ve03/05-texture.png
